,Low-False,Low-True,Normal-False,Normal-True,SlightlyIncreased-False,SlightlyIncreased-True,Moderate-False,Moderate-True,High-False,High-True,VeryHigh-False,VeryHigh-True
Rain,Your genes hold up quite well in rainy weather! Make sure to watch out for slipping and falling if walking outside.,Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during gloomy weather.,Your genes hold up quite well in rainy weather! Make sure to watch out for slipping and falling if walking outside.,Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during gloomy weather.,Your genes hold up quite well in rainy weather! Make sure to watch out for slipping and falling if walking outside.,Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during gloomy weather.,"While you may not think it necessary due to the rain, apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Consider taking a vitamin D supplement. And even though it's raining, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside.","While you may not think it necessary due to the rain, apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Consider taking a vitamin D supplement. And even though it's raining, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside.","While you may not think it necessary due to the rain, apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Consider taking a vitamin D supplement. And even though it's raining, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside."
Chance of a Thunderstorm,"Due to the chance of thunderstorm, try to stay inside and avoid driving. It may get slippery so take care if you have to drive or walk outside.",Taking a vitamin D supplement is likely to protect your health during stormy weather.,"Due to the chance of thunderstorm, try to stay inside and avoid driving. It may get slippery so take care if you have to drive or walk outside.",Taking a vitamin D supplement is likely to protect your health during stormy weather.,"Due to the chance of thunderstorm, try to stay inside and avoid driving. It may get slippery so take care if you have to drive or walk outside.",Taking a vitamin D supplement is likely to protect your health during stormy weather.,"Even though a storm may be approaching, to protect your health apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Even though it may storm, consider taking a vitamin D supplement and apply a broad-spectrum sunscreen (minimum SPF 30) if you go outside.","Even though a storm may be approaching, to protect your health apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Even though it may storm, consider taking a vitamin D supplement and apply a broad-spectrum sunscreen (minimum SPF 30) if you go outside.","Even though a storm may be approaching, to protect your health apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Even though it may storm, consider taking a vitamin D supplement and apply a broad-spectrum sunscreen (minimum SPF 30) if you go outside."
Thunderstorm,A major risk to your health is a slip and fall during this wet weather. Be careful if going outside.,"To optimize your genes and protect your health during this stormy weather, consider taking a vitamin D supplement.",A major risk to your health is a slip and fall during this wet weather. Be careful if going outside.,"To optimize your genes and protect your health during this stormy weather, consider taking a vitamin D supplement.",A major risk to your health is a slip and fall during this wet weather. Be careful if going outside.,"To optimize your genes and protect your health during this stormy weather, consider taking a vitamin D supplement.",A major risk to your health is a slip and fall during this wet weather. Be careful if going outside.,"To optimize your genes and protect your health during this stormy weather, consider taking a vitamin D supplement.",A major risk to your health is a slip and fall during this wet weather. Be careful if going outside.,"To optimize your genes and protect your health during this stormy weather, consider taking a vitamin D supplement.",A major risk to your health is a slip and fall during this wet weather. Be careful if going outside.,"To optimize your genes and protect your health during this stormy weather, consider taking a vitamin D supplement."
Flurries,"Burr, it's cold today. Accidents are a major threat to your health. Walk slowly outside as it may be slippery and take care driving.",Taking a vitamin D supplement is likely to optimize your genes and protect your health during this cold weather.,"Burr, it's cold today. Accidents are a major threat to your health. Walk slowly outside as it may be slippery and take care driving.",Taking a vitamin D supplement is likely to optimize your genes and protect your health during this cold weather.,"Burr, it's cold today. Accidents are a major threat to your health. Walk slowly outside as it may be slippery and take care driving.",Taking a vitamin D supplement is likely to optimize your genes and protect your health during this cold weather.,"Your health is stil at risk even during a cold day like today. Before going outside, apply broad-spectrum sunscreen (minimum SPF 30).",Taking a vitamin D supplement and applying sunscreen to your face are likely to protect your health during this cold weather.,"Your health is stil at risk even during a cold day like today. Before going outside, apply broad-spectrum sunscreen (minimum SPF 30).",Taking a vitamin D supplement and applying sunscreen to your face are likely to protect your health during this cold weather.,"Your health is stil at risk even during a cold day like today. Before going outside, apply broad-spectrum sunscreen (minimum SPF 30).",Taking a vitamin D supplement and applying sunscreen to your face are likely to protect your health during this cold weather.
OMITTED,Personalization cannot occur because weather conditions are currently unknown. This should be resolved soon. Please check the app in a couple hours.,Personalization cannot occur because weather conditions are currently unknown. This should be resolved soon. Please check the app in a couple hours.,Personalization cannot occur because weather conditions are currently unknown. This should be resolved soon. Please check the app in a couple hours.,Personalization cannot occur because weather conditions are currently unknown. This should be resolved soon. Please check the app in a couple hours.,Personalization cannot occur because weather conditions are currently unknown. This should be resolved soon. Please check the app in a couple hours.,Personalization cannot occur because weather conditions are currently unknown. This should be resolved soon. Please check the app in a couple hours.,Personalization cannot occur because weather conditions are currently unknown. This should be resolved soon. Please check the app in a couple hours.,Personalization cannot occur because weather conditions are currently unknown. This should be resolved soon. Please check the app in a couple hours.,Personalization cannot occur because weather conditions are currently unknown. This should be resolved soon. Please check the app in a couple hours.,Personalization cannot occur because weather conditions are currently unknown. This should be resolved soon. Please check the app in a couple hours.,Personalization cannot occur because weather conditions are currently unknown. This should be resolved soon. Please check the app in a couple hours.,Personalization cannot occur because weather conditions are currently unknown. This should be resolved soon. Please check the app in a couple hours.
Chance of Snow Showers,It cold and may be wet today. A major health risk is a slip and fall while walking outside as well as driving accidents. Be careful today if you go outside.,During this cold weather taking a vitamin D supplement will likely help protect your health. it will help optimize your genes and protect your health during this snowy weather.,It cold and may be wet today. A major health risk is a slip and fall while walking outside as well as driving accidents. Be careful today if you go outside.,During this cold weather taking a vitamin D supplement will likely help protect your health. it will help optimize your genes and protect your health during this snowy weather.,It cold and may be wet today. A major health risk is a slip and fall while walking outside as well as driving accidents. Be careful today if you go outside.,During this cold weather taking a vitamin D supplement will likely help protect your health. it will help optimize your genes and protect your health during this snowy weather.,"Applying a broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin will help protect your health even during cold weather.","It's cold today, protect your health by applying broad-spectrum sunscreen if you go outside and also consider taking a vitamin D supplement.","Applying a broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin will help protect your health even during cold weather.","It's cold today, protect your health by applying broad-spectrum sunscreen if you go outside and also consider taking a vitamin D supplement.","Applying a broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin will help protect your health even during cold weather.","It's cold today, protect your health by applying broad-spectrum sunscreen if you go outside and also consider taking a vitamin D supplement."
Snow Showers,"It's a snow day! If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this snowy weather.,"It's a snow day! If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this snowy weather.,"Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement."
Chance of Snow,"It's looking like snow today. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this snowy weather.,"It's looking like snow today. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this snowy weather.,"Even though it may be snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it may be snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it may be snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it may be snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it may be snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it may be snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it may be snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it may be snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement."
Snow,"It's cold and snowy, which means your health is at risk from accidents such as driving accidents and slips and falls. Take care if you go outside.",Protect your health and optimize your genes during this snowy weather - consider taking a vitamin D supplement.,"It's cold and snowy, which means your health is at risk from accidents such as driving accidents and slips and falls. Take care if you go outside.",Protect your health and optimize your genes during this snowy weather - consider taking a vitamin D supplement.,"It's cold and snowy, which means your health is at risk from accidents such as driving accidents and slips and falls. Take care if you go outside.",Protect your health and optimize your genes during this snowy weather - consider taking a vitamin D supplement.,"Even when snowing, if you go outside the sun can still cause you significant harm. Make sure to apply broad-spectrum sunscreen today.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even when snowing, if you go outside the sun can still cause you significant harm. Make sure to apply broad-spectrum sunscreen today.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even when snowing, if you go outside the sun can still cause you significant harm. Make sure to apply broad-spectrum sunscreen today.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement."
Chace of Ice Pellets,"Watch out for ice and freezing rain. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this icy weather.,"Watch out for ice and freezing rain. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this icy weather.,"Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement."
Ice Pellets,"Watch out for ice and freezing rain. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this icy weather.,"Watch out for ice and freezing rain. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this icy weather.,"Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement."
Blizzard,"Try to stay inside during the blizzard. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during the blizzard.,"Try to stay inside during the blizzard. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during the blizzard.,"Even with the blizzard, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even with the blizzard, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even with the blizzard, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even with the blizzard, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even with the blizzard, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even with the blizzard, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even with the blizzard, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even with the blizzard, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement."
,,,,,,,,,,,,
Chance of Flurries,"Burr, it's cold today. Accidents are a major threat to your health. Walk slowly outside as it may be slippery and take care driving.",Taking a vitamin D supplement is likely to optimize your genes and protect your health during this cold weather.,"Burr, it's cold today. Accidents are a major threat to your health. Walk slowly outside as it may be slippery and take care driving.",Taking a vitamin D supplement is likely to optimize your genes and protect your health during this cold weather.,"Burr, it's cold today. Accidents are a major threat to your health. Walk slowly outside as it may be slippery and take care driving.",Taking a vitamin D supplement is likely to optimize your genes and protect your health during this cold weather.,"Your health is stil at risk even during a cold day like today. Before going outside, apply broad-spectrum sunscreen (minimum SPF 30).",Taking a vitamin D supplement and applying sunscreen to your face are likely to protect your health during this cold weather.,"Your health is stil at risk even during a cold day like today. Before going outside, apply broad-spectrum sunscreen (minimum SPF 30).",Taking a vitamin D supplement and applying sunscreen to your face are likely to protect your health during this cold weather.,"Your health is stil at risk even during a cold day like today. Before going outside, apply broad-spectrum sunscreen (minimum SPF 30).",Taking a vitamin D supplement and applying sunscreen to your face are likely to protect your health during this cold weather.
Chance of Rain,"A significant risk to your health is slips, falls and accidents. Take care if you go outside today and drive carefully because the roads are slippery.",A vitamin D supplement is likely to help protect your health as it may rain today.,"A significant risk to your health is slips, falls and accidents. Take care if you go outside today and drive carefully because the roads are slippery.",A vitamin D supplement is likely to help protect your health as it may rain today.,"A significant risk to your health is slips, falls and accidents. Take care if you go outside today and drive carefully because the roads are slippery.",A vitamin D supplement is likely to help protect your health as it may rain today.,"Your health is stil at risk even during a rainy day like today. Before going outside, apply broad-spectrum sunscreen (minimum SPF 30).","Consider taking a vitamin D supplement. And even though it may rain, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside.","Your health is stil at risk even during a rainy day like today. Before going outside, apply broad-spectrum sunscreen (minimum SPF 30).","Consider taking a vitamin D supplement. And even though it may rain, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside.","Your health is stil at risk even during a rainy day like today. Before going outside, apply broad-spectrum sunscreen (minimum SPF 30).","Consider taking a vitamin D supplement. And even though it may rain, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside."
Chance Rain,"A significant risk to your health is slips, falls and accidents. Take care if you go outside today and drive carefully because the roads are slippery.",A vitamin D supplement is likely to help protect your health as it may rain today.,"A significant risk to your health is slips, falls and accidents. Take care if you go outside today and drive carefully because the roads are slippery.",A vitamin D supplement is likely to help protect your health as it may rain today.,"A significant risk to your health is slips, falls and accidents. Take care if you go outside today and drive carefully because the roads are slippery.",A vitamin D supplement is likely to help protect your health as it may rain today.,"Your health is stil at risk even during a rainy day like today. Before going outside, apply broad-spectrum sunscreen (minimum SPF 30).","Consider taking a vitamin D supplement. And even though it may rain, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside.","Your health is stil at risk even during a rainy day like today. Before going outside, apply broad-spectrum sunscreen (minimum SPF 30).","Consider taking a vitamin D supplement. And even though it may rain, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside.","Your health is stil at risk even during a rainy day like today. Before going outside, apply broad-spectrum sunscreen (minimum SPF 30).","Consider taking a vitamin D supplement. And even though it may rain, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside."
Chance of Freezing Rain,"Watch out for freezing rain and slippery conditions. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this winter weather.,"Watch out for freezing rain and slippery conditions. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this winter weather.,"Even with this winter weather, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even with this winter weather, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even with this winter weather, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even with this winter weather, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even with this winter weather, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even with this winter weather, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even with this winter weather, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even with this winter weather, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement."
Chance of Sleet,"Watch out for freezing rain and slippery conditions. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this winter weather.,"Watch out for freezing rain and slippery conditions. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this winter weather.,"Even with this winter weather, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even with this winter weather, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even with this winter weather, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even with this winter weather, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even with this winter weather, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even with this winter weather, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even with this winter weather, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even with this winter weather, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement."
Chance of Snow,"It may be a snow day! If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this snowy weather.,"It may be a snow day! If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this snowy weather.,"Even though it may be snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it may be snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it may be snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it may be snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it may be snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it may be snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it may be snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it may be snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement."
Chance of Thunderstorms,"Due to the chance of thunderstorm, try to stay inside and avoid driving. It may get slippery so take care if you have to drive or walk outside.",Taking a vitamin D supplement is likely to protect your health during stormy weather.,"Due to the chance of thunderstorm, try to stay inside and avoid driving. It may get slippery so take care if you have to drive or walk outside.",Taking a vitamin D supplement is likely to protect your health during stormy weather.,"Due to the chance of thunderstorm, try to stay inside and avoid driving. It may get slippery so take care if you have to drive or walk outside.",Taking a vitamin D supplement is likely to protect your health during stormy weather.,"Even though a storm may be approaching, to protect your health apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Even though it may storm, consider taking a vitamin D supplement and apply a broad-spectrum sunscreen (minimum SPF 30) if you go outside.","Even though a storm may be approaching, to protect your health apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Even though it may storm, consider taking a vitamin D supplement and apply a broad-spectrum sunscreen (minimum SPF 30) if you go outside.","Even though a storm may be approaching, to protect your health apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Even though it may storm, consider taking a vitamin D supplement and apply a broad-spectrum sunscreen (minimum SPF 30) if you go outside."
Chance of a Thunderstorm,"Due to the chance of thunderstorm, try to stay inside and avoid driving. It may get slippery so take care if you have to drive or walk outside.",Taking a vitamin D supplement is likely to protect your health during stormy weather.,"Due to the chance of thunderstorm, try to stay inside and avoid driving. It may get slippery so take care if you have to drive or walk outside.",Taking a vitamin D supplement is likely to protect your health during stormy weather.,"Due to the chance of thunderstorm, try to stay inside and avoid driving. It may get slippery so take care if you have to drive or walk outside.",Taking a vitamin D supplement is likely to protect your health during stormy weather.,"Even though a storm may be approaching, to protect your health apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Even though it may storm, consider taking a vitamin D supplement and apply a broad-spectrum sunscreen (minimum SPF 30) if you go outside.","Even though a storm may be approaching, to protect your health apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Even though it may storm, consider taking a vitamin D supplement and apply a broad-spectrum sunscreen (minimum SPF 30) if you go outside.","Even though a storm may be approaching, to protect your health apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Even though it may storm, consider taking a vitamin D supplement and apply a broad-spectrum sunscreen (minimum SPF 30) if you go outside."
Clear,"Before going outside today, apply broad-spectrum sunscreen in the morning and reapply around 1p.","Before going outside today, apply broad-spectrum sunscreen in the morning and reapply around 1p.","Before going outside today, apply broad-spectrum sunscreen in the morning and reapply around 1p.","Before going outside today, apply broad-spectrum sunscreen in the morning and reapply around 1p.","Before going outside today, apply a broad-spectrum sunscreen with minimum SPF 30 in the morning and reapply around 1p.","Before going outside today, apply a broad-spectrum sunscreen with minimum SPF 30 in the morning and reapply around 1p.","Before going outside today, apply a broad-spectrum sunscreen with minimum SPF 30 in the morning and reapply around 1p.","Before going outside today, apply a broad-spectrum sunscreen with minimum SPF 30 in the morning and reapply around 1p.","Before going outside today, apply a broad-spectrum sunscreen with minimum SPF 30 in the morning and reapply around 1p.","Before going outside today, apply a broad-spectrum sunscreen with minimum SPF 30 in the morning and reapply around 1p.","Before going outside today, apply a broad-spectrum sunscreen with minimum SPF 30 in the morning and reapply around 1p.","Before going outside today, apply a broad-spectrum sunscreen with minimum SPF 30 in the morning and reapply around 1p."
Cloudy,It's a beautiful day! Apply sunscreen in the morning before going outside.,It's a beautiful day! Apply sunscreen in the morning before going outside.,It's a beautiful day! Apply sunscreen in the morning before going outside.,It's a beautiful day! Apply sunscreen in the morning before going outside and consider taking a vitamin D supplement.,It's a beautiful day! Apply sunscreen in the morning before going outside.,It's a beautiful day! Apply sunscreen in the morning before going outside.,It's a beautiful day! Apply sunscreen in the morning before going outside.,It's a beautiful day! Apply sunscreen in the morning before going outside.,"Before going outside today, apply broad-spectrum sunscreen (at least SPF 30) to your face, neck, arms and legs. Reapply sunscreen around 1p.","Consider taking a vitamin D supplement. Apply broad-spectrum sunscreen (at least SPF 30) to your face, neck arms and legs. Reapply around 1p.","Before going outside today, apply broad-spectrum sunscreen (at least SPF 30) to your face, neck, arms and legs. Reapply sunscreen around 1p.","Consider taking a vitamin D supplement. Apply broad-spectrum sunscreen (at least SPF 30) to your face, neck arms and legs. Reapply around 1p."
Flurries,It's a cold day today. A major health risk is a slip and fall so take care if going outside.,Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this snowy weather.,It's a cold day today. A major health risk is a slip and fall so take care if going outside.,Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this snowy weather.,"Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement."
Fog,The fog may decrease visibility - be careful if going outside.,"Due to this foggy weather, to protect your health consider taking a vitamin D supplement.",The fog may decrease visibility - be careful if going outside.,"Due to this foggy weather, to protect your health consider taking a vitamin D supplement.","Regardless of the fog, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","Regardless of the fog, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","Regardless of the fog, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","Regardless of the fog, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement."
Haze,The haze today may decrease visibility - be careful if going outside.,"Due to this hazy weather, to protect your health consider taking a vitamin D supplement.",The haze may decrease visibility - be careful if going outside.,"Due to this hazy weather, to protect your health consider taking a vitamin D supplement.","Regardless of the haze, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the haze, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","Regardless of the haze, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the haze, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","Regardless of the haze, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the haze, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","Regardless of the haze, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the haze, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement."
